タイトル,タイトルURL,画像URL,Like,作者,manga_id,作品紹介,コメント,score
悪竜はなんのために生きるのか,https://manga.line.me/product/periodic?id=Z0003060,https://linemanga-obs.line-scdn.net/0h7D69qI7JaGsLQHYdhxwXPC4dbgRyLH9iYXY5X3AHYhg4OStDT01lVlMpNFNZMm4-TiRyBStHP10iNS85MnN3C3kT/middle,1649.0,manubi(作画)・Honaran(脚色)・lemonfrog(原作),Z0003060,"帝国を滅亡させようと現れた悪竜｢ラベス｣を鎮めるため、生贄に捧げられたエレイン。
ところが、ラベスはエレインと旧知の仲だと告げ、願いを三つ叶えてくれるというではないか…！
とにかく世界を救うため、エレインが帝国を滅亡させないでほしいと願うと、16歳だった10年前にタイムスリップしていた。

しかし、ラベスは他にも何かを企んでいるようで…？",144.0,3089.0
悪役奴隷のご主人様になりました,https://manga.line.me/product/periodic?id=S148061,https://linemanga-obs.line-scdn.net/0hC6nLj0XVHBlTNQ0bGQpjTmZoGnYqWQsQOQNNLShyFmpgAghKagcEe39wQiwuBQ8dO1o/middle,95.0,Peroche・MOoji・MUZO,S148061,20年間奴隷として人生を送り、なぜか闇落ちして帝国を滅ぼしてしまう主人公キアン。よりによって、そんな悪役のような主人公に殺されるキャラクターに転生するなんて…　生き残るためには主人公の闇落ちを防ぐしかないと思い　私は奴隷オークションに出された主人公を買った。「キアンと申します。これから誠心誠意お仕えします。」　ついに対面した主人公は、血に濡れた虐殺者とはほど遠い顔をしていた。主人公が魔法師として覚醒するまで　愛と優しさで彼を包み込み、なんとか闇落ちは防げたかと思いきや――　…どうやら主人公は私に惚れて、執着男子に変わってしまったみたい。,128.0,1375.0
東京カンナビス特区 大麻王と呼ばれた男,https://manga.line.me/product/periodic?id=S117676,https://linemanga-obs.line-scdn.net/0hCqMf_tnRHF5wHw2Lxw1jCUVCGjEJcwtXGilNagtYFi1DKQxfRSpUbQFaQmsJeF9fHn0/middle,9.0,稲井雄人,S117676,花屋を営む千東森生は、妻と高校生の娘との3人暮らし。子供の頃から植物が好きで始めた花屋の経営は芳しくなく、妻はパートに出て、なんとか生計を立てていた。そんな折に届いた大学の同窓会の報せ。懐かしい思い出に後押しされるように、同窓会へ参加した森生は、そこでかつての親友・加賀山に声をかけられる。久々の再会に、昔を懐かしむ森生だったが、加賀山からとある仕事を依頼されーーー。,165.0,1659.0
無限レベルアップin武林,https://manga.line.me/product/periodic?id=Z0001443,https://linemanga-obs.line-scdn.net/0hCn06-hjoHEENTwJEUs1jFigSGi50IwtIZ3lNdXYIFjI-KFp_cCpRIm8EASFaBzl2cysGJ31NRHImOlsTOX1VL3pL/middle,113.0,GonBoong(原作)・KIM. JINU(作画),Z0001443,"突然現れた強者のせいで武林全体は戦争の真っただ中であった。上級階層の物たちは下層の物たちを盾に逃げ、その戦いで武林盟は全滅してしまう。
幼いころから父に努力は人を裏切らないと教えられていた主人公ユソンは、そんな父の言葉は間違っていたのだと打ちひしがれてしまう。

戦いで死んだと思ったユソンだったが、目を覚ますと自らの過去に戻っていた⁉
昔合格できなかった武館の狭き門を突破し注目を浴びるユソンであったが、果たして未来を変えることはできるのだろうか。
任務を遂行し努力した分だけレベルの上がる世界でユソンを待つ運命とはーー",49.0,603.0
ギルドの受付魔人～無限チュートリアルでカンスト突破～,https://manga.line.me/product/periodic?id=S139990,https://linemanga-obs.line-scdn.net/0hU9grcGlNChZaCxq3Y9F1QW9WDHkjZx0fMD1bIiFMAGVpMhhIZzhBJyhOVCN2OBgQZzg/middle,76.0,白石新・友吉・志勇・3rd Ie・川口海・ＤＡＤＡＤＡ・囃子依,S139990,ダンジョンが出現した現代。プレイヤー適正で全てが決まる世界で、飯島譲二はまさかの最低適正のFだった!?　友人に借金を背負わされ、無能だと馬鹿にされたりとプレイヤーとして最低なスタートを切ることになった飯島譲二。しかし、ひょんことから彼は無限チュートリアルを行うことになり……〇〇年が経過した。レベル9999となった彼だったが、無限に繰り返されるチュートリアルに彼の心は壊れる寸前。――レベルがアップしました　カウントストップの向こう側に到達すると共に世界がバグり、彼はプレイヤーとして目覚めた瞬間まで時をさかのぼり、規格外のレベルのままに人生をやり直すことになったのだ。「なんだアイツは!?　なんであんな化け物がギルドの受付職員をやってるんだ!?」　腕を振るえば建物が消し飛び、魔法を唱えりゃ大惨事。プレイヤーギルドの受付男が見せつける圧倒的破壊力に周囲が騒然！　冴えないアラサー男のやり直し人生大逆転劇、ここに開幕っ!!!!,59.0,666.0
異常死体解剖ファイル,https://manga.line.me/product/periodic?id=S140164,https://linemanga-obs.line-scdn.net/0hsqTSeq8uLF5pKjzpWYZTCVx3KjEQRjtXAxx9ahJtJi1aTjwIBR5nPExvcmtFSD8KUx8/middle,8.0,石川オレオ・月桜しおり・peep,S140164,法医学者の染井沙代里は、遺体に話しかけることで「遺体の声が聞こえる」という「特異体質」の持ち主だった。しかし竹本刑事が運び込んだ【不気味な死体】のせいで彼女の日常は壊れてしまう。それもそのはず。その【不気味な死体】は【呪われた死体】だったのだ。,228.0,2288.0
疑似恋愛,https://manga.line.me/product/periodic?id=Z0002978,https://linemanga-obs.line-scdn.net/0h5B4Lffrzam0JNXRhe2cVOi1obAJwWX1kYwM7WXJyYB46AVd7Ny4sUStqcRZkei1ga1FwCiswNlRhBSlrMwMhXCg/middle,21.0,yeoeun,Z0002978,恋愛はめんどくさいけど、スキンシップはしたい！そんな願いを抱く、29歳・彼氏いない歴１年の豊栄梓美。ある日梓美の職場にイケメン新入社員・久沢錫也が入社してくる。梓美に好意的な態度を見せるが、どこか一線を引いてくる錫也。デートもするしスキンシップもするけど、付き合ってはいない…。この関係をなんと呼べばいいのだろうか？恋人のようで恋人でない、二人の関係の行方は…!?,62.0,641.0
聖皇の孫はチートなネクロマンサー,https://manga.line.me/product/periodic?id=Z0003337,https://linemanga-obs.line-scdn.net/0htWETPizrK3h4LTVKerpUL11wLRcBQTxxEht6TANqIQtLeCVKIylkSAF3BTESHmVKEUkxHwordU9WWGwqTEtmGQ4s/middle,98.0,Shadow Man(原作)・Kimoong(作画)・stu.neulbom(脚色・コンテ),Z0003337,"バーチャルゲームのテスト中にこの世を去った主人公は
聖皇の孫、荒くれ者 ”アレン・オルフォルス”として突如、目覚めた。
ゲーム内の職業であるネクロマンサーの能力はそのままに憑依!?

「俺はね、1回目の人生はほんの少し複雑だったけど、
２回目の人生は静かに謳歌したいんだ」

ネクロマンサーが大罪人と言われるこの世界で、
はたして彼は思い通り生きていくことができるのだろうか？",34.0,438.0
暴君にフラれる10の方法,https://manga.line.me/product/periodic?id=Z0003176,https://linemanga-obs.line-scdn.net/0hPcT0PQZxD0xpSREKDaZwG0wUCSMQJRhFA39eeBIOBT9aGT96EFomTxE2VAtHAD1aDi0Vf0lAVn9GPEgeUXpIKxxA/middle,271.0,Seo Gwijo(原作)・danmyeong(脚色)・9999(脚色)・mapzzil(作画),Z0003176,"19歳のある日、私は亡くなって小説の中の世界に入りこんだ。
それもよりによって、婚約相手の暴君に殺されてしまう悪女スカーレットの体に乗りうつってしまい!?
原作のように暴君に殺されるなんて嫌だ。
死を免れるため、暴君には私をフッていただきます！",146.0,1731.0
貴族次男の成り上がり～魔法を極めて世界最強になった転生者～,https://manga.line.me/product/periodic?id=S105985,https://linemanga-obs.line-scdn.net/0hqdo4WFnSLktSTT7OPOBRHGcQKCQrITlCOHt_fykKJDhhfDseOi4xK3EIcH5_KmgVaHs/middle,103.0,三木なずな・葉山冬悟,S105985,転生×貴族×魔法チート！　異世界の貴族に転生したアラドは、日本でブラック企業に勤めていた時より悠々自適な生活を過ごしていた。唯一不満に思っているのが、一年に一度の「神託ガチャ」であたりを引けず、異世界に転生したのに魔法が使えないことだけだった。しかしある日、他人には見えない魔法が使われたあとの「かけら」が見えることがわかり、そのかけらを集めれば魔法が身につくことも判明した。かけらを集めて魔法を覚えるという自分だけの能力で、アラドはあらゆる魔法を手に入れていき、貴族かつ稀代の大魔導師という唯一無二の存在になっていくのだった。,41.0,513.0
美醜の大地～復讐のために顔を捨てた女～,https://manga.line.me/product/periodic?id=S140196,https://linemanga-obs.line-scdn.net/0hv3AQ5hAiKRx8KDmYhutWS0l1L3MFRD4VFh54KAdvI29PHWdCSUgzfAltdylSGWYfQEs/middle,69.0,藤森治見,S140196,いじめによってすべてを奪われた女が別人に生まれ変わり、地獄の復讐に身を投じる！昭和20年、太平洋戦争が終わりかけていた時代、樺太(からふと)で生まれ育った少女・市村ハナは、醜い容姿のため女学校で凄惨ないじめを受けていた。いじめのリーダー格は大会社の令嬢・高島津絢子。彼女によって泥棒の濡れ衣を着せられたハナは、退学に追い込まれてしまう。やがてソ連軍が空襲を開始し、樺太から北海道へ逃れる船に乗り込んだハナ一家だったが、いじめグループによって船から追い出されてしまい……。※この作品は一部修正を加えております。,317.0,3239.0
片想いは結婚しても終わらない,https://manga.line.me/product/periodic?id=Z0003452,https://linemanga-obs.line-scdn.net/0hvPmtiHybKX9QDTd7HZZWKHRQLxApYT52Ojt4SytKIwxjaTN8LhQVeSMKMzwGXG9wNGkzHXUOc0g4PWohO2xgSic/middle,86.0,Checurry(脚色)・team labo(作画)・Nuova(原作),Z0003452,"アルカス公爵が難民だったミエルを救った瞬間、彼女の心に小さな恋心が芽生えた。
それはやがて立派な片想いに育つが、彼女は公爵への気持ちを隠し続けた。
そして8年後… ｢私と結婚しよう｣有能な補佐官となった彼女に主君は言った。 
戸惑うミエルに｢君が一番後腐れなさそうだ｣と、主君はいつもと変わらぬクールな表情で続けた。
そう…彼が望むのは、甥に爵位を譲るまでの期間限定の公爵夫人…見せかけだけの契約結婚だった。
後継者さえ産まなければ弟たちの教育も、家の借金も全て公爵家が面倒を見るという破格の条件に、
ミエルは家族のためなら自分の感情を隠し通してみせると、契約結婚を承諾する。
ところが公爵様の態度がたまに紛らわしくて… 
ひょっとして公爵様も私のことを…？",44.0,526.0
天然さんは恋に疎い,https://manga.line.me/product/periodic?id=Z0003344,https://linemanga-obs.line-scdn.net/0he3n2sVQSOhxTSyQZHS1FS3YWPHMqJy0VOX1rKCgMMG9gJX0OZ2oyeCYIA2oeKRQ4ai8gfnBJYyp_Pn1OZ3lyKnVL/middle,39.0,GURI,Z0003344,"ポジティブであるがゆえの鈍さなのか？世界一空気が読めない女、「桑名明里」。
そんな彼女に密かに想いを寄せる男たちがいる。
果たして彼らの想いは「センスゼロ」な明里に届くだろうか。
今世紀一のニブチンラブコメディ。",150.0,1539.0
謎の公子は天下十大高手,https://manga.line.me/product/periodic?id=Z0003435,https://linemanga-obs.line-scdn.net/0hMIs7cLU7EmZOTgxiBwJtMWsTFAk3IgVvJHhDUjUJGBV9CS5tBn0LQzIeSl40AiFuEyoIUj9LT1FmO1U0en9aU2od/middle,146.0,ウンチャン(原作)・状況が急(作画)・トリコムズスタジオ(脚色),Z0003435,"天下大戦を経て往年の威厳をなくした魔道林。

傾く一方の魔道林へ、勘当された魔道林主の娘が産んだ孫・秦武颯が加勢し、
武林の勢力図はガラッと変わっていく。

母の遺言を守るべく、魔道林の再建のため勤しむ武颯の活躍記。",40.0,546.0
それって初恋ですか、殿下,https://manga.line.me/product/periodic?id=S152190,https://linemanga-obs.line-scdn.net/0hloS9vzCFM0BuQC0YqrhMF1sdNS8XLCRJBHZidBUHOTNddCMUU3J8LxsFbXRFInNBUXE/middle,39.0,Lee yuna・Hyuk・9jung・en-dolphin studio,S152190,「美しい…君の名前は？俺のものにならないか？」昔々、ある呪いにかかり、誰も愛せなくなった可哀想な皇太子がいた。愛する感情を諦め生きてきた皇太子だったが、とある舞踏会で生まれて初めて美しく愛おしいと思えるモノに出会い、心奪われ、その場で熱烈な愛の告白をする。しかし、その相手は…決して美しいとは言えない、その上恐ろしい噂のある黒猫（♂）だったのだ！皇太子は猫とその飼い主を皇宮に招待し、最愛の猫がそばにいる幸せを噛み締めていたが、どうにも猫のオマケである飼い主の女性が気になってしまう。なんの取り柄もない平民の女性なのに、皇太子の視線は彼女にくぎ付けだった。「君は俺を今まで感じたことのない思いにさせるんだ。君を見てると触れたいし、抱きしめたくなる。俺はこんな感情を知らない。」「君に…口づけをしてもいいだろうか？」,64.0,679.0
喧嘩アプリ,https://manga.line.me/product/periodic?id=Z0003698,https://linemanga-obs.line-scdn.net/0hWpH-haAXCF91VBZVgOh3CFAJDjAMOB9WH2JZaw4TAixGIRNeCGIvUFYxPTkfDBl7KjASawRUUmtYIU8NGWJHbgUH/middle,14.0,羽柴マル,Z0003698,"「喧嘩アプリ」があなたを強くします！

同じクラスの塚本にプロレス技の練習相手にされ、いじめられる日々を送る水島直樹・高校1年。
​無力さに打ちのめされている水島の前に偶然現れたのは、「喧嘩アプリ」というスマホアプリ？
相手に攻撃を命中させるとポイントが得られ、そのポイントで戦いに役立つ技を習得できるという、怪しい説明…。
​しかし藁にもすがる思いでアプリをインストールし試してみる水島…。​ところが、まさかの本物だった！？

果たして水島は「喧嘩アプリ」を使って、自分自身を守ることができるのかーー！
※この物語はフィクションです。実在の人物・団体・事件等とは一切関係はありません。",27.0,284.0
復讐のときが来るまで,https://manga.line.me/product/periodic?id=Z0003582,https://linemanga-obs.line-scdn.net/0hT63V1JKiCxkOLxUdPb90TityDXZ3QxwQZBlaLXVoAWo9fTtHdygnCyNtDy1LdC5PTksRei0qVigiWkxLOh5De3gp/middle,8.0,Edith(原作)・RedpeachStudio(企画・作画),Z0003582,"主人公・芹奈(せりな)は、夫との間に一人息子を授かり、幸せな毎日を過ごしていた。
ところがある日、夫の不倫現場を目撃してしまう。
長年に渡って裏切られていたことを知り、離婚を決心する芹奈だったが、実行へと移す前に交通事故によって息子の命が奪われ、芹奈自身も何者かに殺害されてしまう。
しかし目を覚ますと、どういうわけか結婚前の過去へと戻っていた。
再び愛する息子を産み、夫に復讐することを誓う芹奈だったが…!?",12.0,128.0
ヤバい奴らに執着されるC級ガイドになった,https://manga.line.me/product/periodic?id=S144188,https://linemanga-obs.line-scdn.net/0hPZjgA2KLD3VXHhFBjmBwImJDCRouchh8PSheQSxZBQZkKE8lbS8XEidbUUFyL04rO3A/middle,34.0,seodoa・Nillili・藤村ゆかこ・en-dolphin studio,S144188,ある日突然、世界各地にゲートが開き、怪獣が出現した。人類滅亡が危ぶまれた頃、科学的に説明できない「異能力」を発現した人々が現れた。戦闘系異能力を持つ「エスパー」と、エスパーが異能力を使いすぎることで起きる暴走を鎮める「ガイド」。彼らのおかげで、人類は滅亡の危機から脱した。C級ガイドである早瀬美玖の目標は、細く長く、目立たずにひっそりと安定した人生を送ること。それなりの収入を得て、順風満帆な生活を送っていた美玖に突如知らされたのは、国内にたった2人しかいない最強S級エスパー八城賢斗との「マッチング率89%」という驚愕の検査結果と、賢斗の専属ガイドの任命だった！賢斗の専属ガイドになって以降、美玖の生活は大きく変わってしまった――。美玖にだけ懐き、優しく可愛い年下男子、八城賢斗。国内もう1人のS級エスパーで、理性的かつ冷徹な上司、國陶玄親。謎多き英国紳士エスパー、ジェリー。3人のヤバいイケメンエスパーが、なぜか美玖に執着しはじめ…「こんな人生、クソすぎる！」,79.0,824.0
竜の尻尾を噛む二十日鼠,https://manga.line.me/product/periodic?id=S147846,https://linemanga-obs.line-scdn.net/0hC9Mf9sTgHBZwHwJb7n5jQUVCGnkJcwsfGilNIgtYFmVDfFtGG3lTI1JaQiJaKVlJH34/middle,13.0,よしきち・崎・真墨・Planet303・CONTENTSLABBLUE TOKYO,S147846,裏路地で生活していた孤児の「ハツカネズミ」は最後の死に場所を探すため彷徨い、サルタトール伯爵家にたどり着く。なぜか伯爵家の一人娘の代わりに皇帝の縁談に送られた。そこには後宮を食い殺すという噂の皇帝、ソルがいた。ソルは死ぬかもしれないと脅すが「ハツカネズミ」は逃げない。ベールに包まれた皇帝と不思議ちゃんハツカネズミの切なくて純粋なラブストーリー!!,82.0,833.0
伝説のハンター(82歳)、クリア報酬で若返る,https://manga.line.me/product/periodic?id=Z0003591,https://linemanga-obs.line-scdn.net/0h9GnpmKrhZmhTCXhsZWcZP3ZUYAcqZXFhOT83XChObBtgS0JraAtLfCtWPTo7WGZMO218C3MMPVp5fCE6ZzguDXUB/middle,11.0,Baek youngmin(脚色・作画)・BBing(原作),Z0003591,"「あと10年若ければ…！！」
＜対象の願いを反映した特別報酬が支給されます＞
82歳で引退生活をしていた伝説のハンター『吉成茂雄』。
偶然不老の能力を与えられ若返り、久しぶりにハンター業界へ戻ってきたのだが…。
ハンター業界に腐ったヤツらが多すぎる！？",25.0,261.0
クールなふたりは見かけによらない,https://manga.line.me/product/periodic?id=S135553,https://linemanga-obs.line-scdn.net/0hghUSUqXEOEdoKijmUfFHEF13PigRRi9OAhxpcxNtMjRbTS0SUU5zJB1vZnJEGSpBVR4/middle,17.0,道雪葵,S135553,凛々しい顔立ちとオーラで「デキる男」感満載の多田野は、びっくりするほど仕事ができない。今日も取引先を怒らせた挙句、氷の帝王・氷鷹社長にコーヒーをぶっかけてしまった…。落ち込む多田野はスーパーで氷鷹社長と鉢合わせ。いつもクールで完璧な社長なら家事もスマートにこなせ――………てない!!?【仕事はできるが家事ができない氷鷹社長】と【家事はできるが仕事ができない多田野くん】ふたりのギャップから目が離せない!?愛すべきポンコツ日常コメディ！,156.0,1577.0
（ノベル）再婚承認を要求します,https://manga.line.me/product/periodic?id=Z0002047,https://linemanga-obs.line-scdn.net/0heHyViGp-OmdELyRmRdJFMGByPAg9Qy1uLhlrUz9oMBR3ahl6EU0qcQRyMSAfHiNDeEsgVGAqYVAsH3lhe0t3CTE/middle,94.0,Alphatart,Z0002047,"『再婚承認を要求します』の原作ノベル、遂に登場！ 
ナビエは生涯、皇后になるための教育を受け、皇帝と政略結婚した「完璧な皇后」だった。しかし、皇后になって３年、 皇帝のソビエシュは狩り場で出会った奴隷出身のラスタに一目惚れし、ラスタを宮殿に迎え入れ「皇帝の側室」という地位まで与えた。
そしてソビエシュはラスタにはまっていくほどナビエを傷つける行動を繰り返す。
ラスタは自身を皇后にしてほしいとソビエシュに哀願し皇帝の座まで狙う。
ナビエは自身が皇后になるために努力してきたことが水の泡になったことを悟り離婚することを決心、隣国の皇后になるために再婚承認を要求するが…",351.0,3604.0
俺だけレベルカンスト～ダンジョン無双で億バズ配信～,https://manga.line.me/product/periodic?id=S146582,https://linemanga-obs.line-scdn.net/0h-Lh-nBsQcmNVVGMdrDENNGAJdAwsOGVqP2IjVy4TeBBmYTJiaWJvVSQRLFZ8Yz09OjI/middle,8.0,どまどま・ouei・たるぺんG・手づくり最中・スズキユカリ・遠藤了・屋良・高栖きの・SORAJIMA,S146582,突如世界各地にダンジョンが出現した現代日本。現実では生粋の陰キャである主人公「大桃怜」は、ダンジョンでは世界で唯一レベルがカンストしていた。社会との関わりを絶ってひたすらダンジョンにのめり込んでいた怜は、ある日チャンネル登録者1000万人の美少女有名配信者「ユリア」の危機を救うことになる。意図せずダンジョン配信でバズってしまった怜は、平穏な日常を求めるのとは裏腹に、裏社会や国までもを巻き込んだダンジョンのさらなる秘密へと巻き込まれていく。【クレジット】原作：どまどま/ネーム：ouei/作画：たるぺんG，手づくり最中/背景：スズキユカリ/仕上げ：遠藤了/ロゴ：屋良/キービジュアル：屋良・高栖きの/制作：SORAJIMA,22.0,228.0
ヴィラン・トゥ・キル,https://manga.line.me/product/periodic?id=Z0001387,https://linemanga-obs.line-scdn.net/0h6DiC1LZ2aWtUOnduGecWPHFnbwQtVn5iPgw4Xy99YxhnDF5GLDojbxVaVCB-TXt9DF5zCHY4PltxTy45YAghC3dq/middle,50.0,FUPIN(ストーリー)・Eunji(作画),Z0001387,"この世には特別な力を持つ者たちが存在する。
超能力を利用して罪を犯す「ヴィラン」とそのヴィランに立ち向かう「サイカー」

作戦を無視し謹慎を言い渡されたトップレベルのサイカー「カシアン」は、幼い頃から慕っている「ジェフ」に呼び出されるが、現れたジェフはボロボロの姿だった……
ジェフはカシアンに、とあるネックレスを託すが追手によりカシアンの目の前で殺されてしまう。
カシアンはジェフを殺害した謎の人物を追いかけるが戦闘の末、彼も撃たれてしまい終わったと思った瞬間…！目を覚ましてみると、とある少年の体に憑依していてジェフを殺害したのは自分だと報道されていた…⁉
激昂する彼はヴィランとして覚醒してしまう…！",42.0,470.0
豹変した暴君に溺愛されています,https://manga.line.me/product/periodic?id=Z0002900,https://linemanga-obs.line-scdn.net/0hLDQ4ydetE2tsTQ1uK4JsPEkQFQQVIQRiBntCXxcKGRhfBS5CKFkAXi43BQwoHDBoACkJX0tNRV9FOFQ5WH9aDUBE/middle,22.0,ソガリ―(作画)・sarkk(脚色)・imhayamm(原作),Z0002900,"ある日、皇帝から暴君リオネル・ヴィアンク大公を
暗殺してくれという依頼を受ける。
組織の皆と平凡に暮らすことを望んでいたアタランテは依頼を引き受け、
大公城に潜り込み暗殺を試みるが…
『なんで死なないのよ？』
一瞬にして愛を囁く大公から果たしてアタランテは無事に脱出することができるのか！？",80.0,822.0
猫と竜,https://manga.line.me/product/periodic?id=S117300,https://linemanga-obs.line-scdn.net/0hNDKYhEZPEWt2IAHBT_1uPEN9FwQPTAZiHBZAXw1nGxhFF1E5QkYNCwRlT15aGANtSxY/middle,16.0,佐々木泉・アマラ・大熊まい,S117300,「小説家になろう」の短編作品としては異例の日刊ランキング1位を獲得。その後もリスト短編ランキング上位をキープし続ける大人気ファンタジーが待望のコミカライズ！　「なぁ、羽のおじちゃん。おいら人間の子供に、魔法を教えてやりたいんだ」。深い深い森の奥。一匹の火吹き竜が、魔法を操る猫たちと暮らしていた。竜は、この森で猫に育てられたのだ。竜の寿命は永い。兄弟猫はとっくに眠りに就き、その子猫が育ち、また新たな命が生まれる。長きにわたり森の猫を守り育てる人間嫌いの竜を、猫たちは「羽のおじちゃん」と呼び、人間は畏怖と敬意を込めて「猫竜」と呼んだ。森の猫は大きくなると、縄張りを求めて巣立っていく。その中には、人間と暮らす猫もいるのだ。冒険の旅に出た王子と、師匠の黒猫。孤児院に住むものぐさ少女と、少女に魔法を教える白猫。冒険者ギルドの看板猫になったのもいる。そして森では、今日も竜が子猫に狩りを教えている。これは、猫と竜と人間の、温かくて不思議な物語。,98.0,996.0
消えゆく皇女のために,https://manga.line.me/product/periodic?id=Z0003688,https://linemanga-obs.line-scdn.net/0h3239EjwXbB0OQHIYRQ4TSisdanJ3LHsUZHY9KXUHZm49KnMQN058LkMjQXVbCHY7bSR2LiJCNSUjNStPOnIkLipI/middle,9.0,942(脚色)・Rimha(作画)・seodamyeon(原作),Z0003688,"裏通りでこそ泥たちと暮らしていた私が「皇女」かもしれない…!?
ネックレスを売ったのがきっかけで、皇室に入ることになった主人公サーシャ。
勘だけはずば抜けて鋭い裏通り出身の姫「サーシャ」と、皇女の婚約者でありながらそばで黙々と守ってくれる冷血な公爵「ラスカン」の秘密のロマンスが、今始まる！",9.0,99.0
転生して人気俳優に片思いされてますけど何か？,https://manga.line.me/product/periodic?id=S147877,https://linemanga-obs.line-scdn.net/0hG5DlXmLuGBp5FQkcNR1nTUxIHnUAeQ8TEyNJLgJSEmlKcgseF3YAKFxQRi9ccAtLECQ/middle,12.0,bubujianxi・Qingying・Kuaikan Comics,S147877,終末世界で女戦神だった紅林美樹は、21世紀の同姓同名の幸薄き三流女優の体に転生した。そして、転生したその日に異能を使ってナンバーワン俳優の氷川蒼汰を大事故から救う。誰に対してもクールな蒼汰は命の恩人であり、どこか不思議な美樹に惹かれ、人生で初めて恋をした。今世をいい人生にするために異能を活かし、無敵のアクション女優となって脚光を浴びる美樹とそんな彼女に恋い焦がれる蒼汰、二人の恋は果たして実るのか？,29.0,302.0
末日の進化：ウィルス王の覚醒,https://manga.line.me/product/periodic?id=Z0003607,https://linemanga-obs.line-scdn.net/0hdiqTL_FYO0ZMLSV_HA5EEWlwPSk1QSxPJhtqcjdqMTV_YHpUMxVydh0pGjZpHBt5AkkhJTwrbXFjWHwUeBt9JW4o/middle,23.0,Guishenyanluo/faloo+Yoma,Z0003607,能力を駆使して、必ず復讐してやる！,19.0,213.0
冒険者パーティーを追放された回復士の少女を拾って育成したら、まさかの最強職業に転職!? おまけに彼女の様子が何やらおかしくて…　【連載版】,https://manga.line.me/product/periodic?id=S137111,https://linemanga-obs.line-scdn.net/0hYrsvSm7aBl1ODxb2E3l5CntSADI3YxFUJDlXaTVIDC59N0YOdDtMPW1KWGhiNhYPImk/middle,14.0,清露・星くずし・えーる,S137111,誰にも頼ろうとせず孤独に生きる冒険者・コトが偶然雨の日の道端で出会ったのは、役立たず扱いされて他のパーティーを追い出された、回復士の少女・ミリィだった。無視するつもりが懐いてしまった彼女を、なぜか家へ連れ帰る羽目になり……！　孤高の冒険者とおっちょこちょい回復士がダンジョンに挑む、ドジカワ共同生活ファンタジー!!　漫画内の告知等は過去のものとなりますので、ご注意ください。,32.0,334.0
初恋はヘイト,https://manga.line.me/product/periodic?id=Z0003149,https://linemanga-obs.line-scdn.net/0hPbcVf7NYD01eLxFtimpwGmVyCSInQxhENBleeSVoBT5tSCMYITkyTiVoBC0oSg1hHEsVKiknUThzG0EeY0hBKA/middle,71.0,マンドゥ,Z0003149,"先生になるという夢があるウンハは猛勉強の末に教育大生になる。
しかし、同じ科の同期にウンハの初恋の相手であり、幼なじみだった
スンミンがいるという事実を知る。
しかし、スンミンは中・高校生の時は不良グループに所属しており、
ウンハとは疎遠になっていた仲だった。
　不良だった頃の雰囲気とはガラッと変わって、
今は地味なフリをしている彼が
少しずつ彼女に接近している…!?",92.0,991.0
奪われる覚悟はよろしいですか？　～悪誉れの乙女と英雄葬の騎士～,https://manga.line.me/product/periodic?id=Z0003585,https://linemanga-obs.line-scdn.net/0hWTcundjKCHteDBZxrG13LHtRDhQnYB9yNDpZTyVLAghtXzJVKwoRFARNIC0XTA9MJ2gTHS4MUkJ7eU8pMjpEGngL/middle,10.0,天海ふし・フーモア,Z0003585,"悪女と呼ばれても、求める道のため――「偽物令嬢」が全てを奪ってみせます！

海賊に拾われ育った少女、クレア。海賊団の船長試験に挑む彼女は、美しく冷徹な男、アドルフに行く手を阻まれる。彼は国にその名をとどろかせる英雄騎士だった。
アドルフに捕まり絶体絶命の危機に立たされたクレアだが、全ては王女とその臣下だった養父の策略で!?　クレアは自分と仲間の命と引き換えに、ある任務を受けることに。
それは偽の「伯爵令嬢」の地位を与えられ、とある事件の秘密を探ること。正体がバレても、失敗しても命はない、しかも「悪女」クレアを監視するためにつけられたのはまさかのアドルフ。がけっぷち状態のクレアとアドルフは任務のため『偽の恋人』として過ごす事になるも、真逆の生き方をしてきた二人はぶつかり合うばかり。
しかし、クレアの度胸と機転、アドルフの不器用な優しさ、お互いの信念を知ったふたりは少しずつ心を寄せるようになり…？

※この物語はフィクションです。実在の人物・団体・事件等とは一切関係はありません。",35.0,360.0
閻魔降臨,https://manga.line.me/product/periodic?id=Z0003321,https://linemanga-obs.line-scdn.net/0hbKxhi3HYPWRFESNgfFRCM2BMOws8fSptLydsUD5WNxd2IClNIxAsaRJZJy8qIgYxe3UnAjIUYlxhZHo2cSB2UWES/middle,14.0,BARUNFLOWER,Z0003321,"地獄が滅びた。
血が流れるはずの黄泉には清水が流れ、亡者を煮えたぎらすはずの釜はとうの昔に冷めてしまった。

引退した閻魔大王は自分の幸せを追い求めて輪廻の道を選ぼうとするが、秩序をなくした地獄と行方不明になった後任の髭もじゃにより、その願いは頓挫してしまう。

人間界の神になるべく人間界と地獄に混沌をもたらしたまま姿を消してしまった髭もじゃ。閻魔はそんな彼の跡を追って人間界に降臨するが、髭もじゃの陰謀により人間界は地獄から逃げてきた亡者たちで大混乱に陥っていたのだった。
閻魔は地獄名簿の力を借りて人を守る「葬儀師」たちと協力して髭もじゃを倒し、世界を元に戻すために奮闘する。
果たして閻魔は無事、輪廻への道を歩めるのだろうか。",42.0,434.0
